essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total
10,15207056,8,9,3,3,0,23
10,1562112J,7,8,2,3,0,20
10,15621219,8,7,3,3,0,21
10,15623688,4,4,3,2,0,13
10,15633101,8,8,2,3,0,21
10,15633462,9,8,NC,3,0,20
10,15633853,7,8,3,3,0,21
10,15634000,10,10,NC,3,0,23
10,1563518J,10,8,3,3,0,24
10,15637085,8,9,3,2,0,22
10,15637506,7,7,3,3,0,20
10,16622553,6,7,3,3,0,19
10,16624416,7,8,3,3,0,21
10,16625544,8,9,3,3,0,23
10,16636473,6,7,NC,2,0,15
10,16638301,8,7,3,1,0,19
10,16638581,10,10,3,3,0,26
10,16639022,6,5,3,3,0,17
10,16641493,10,9,3,3,0,25
10,16641507,8,8,NC,3,0,19
10,15622886,mu,6,3,2,7,18
10,15636011,4,mu,0,0,-3,1
10,16623320,4,mu,3,2,5,14
10,16638077,mu,8,1,NC,6,15
10,16635426,mu,6,3,2,8,19
11,14633051,9,8,2,2,0,21
11,14636700,8,9,2,3,0,22
11,14637596,9,10,2,3,0,24
11,15207080,7,7,3,3,0,20
11,15623939,9,7,3,3,0,22
11,15633683,7,8,2,2,0,19
11,15634884,9,7,3,1,0,20
11,15637492,7,7,3,3,0,20
11,16639251,9,9,3,2,0,23
11,16635566,8,8,2,2,0,20
11,15637964,1,mu,0,0,1,2
11,15638855,mu,8,3,3,5,19
11,16623320,7,mu,2,3,4,16
11,16623975,4,mu,3,3,1,11
11,15637085,6,mu,3,3,5,17
11,16636473,mu,1,1,2,1,5
11,15633101,8,mu,3,2,6,19
11,16638131,mu,7,2,3,6,18
11,15636011,mu,mu,3,3,8,14
11,16640462,mu,mu,2,2,8,12
11,14636417,mu,6,2,3,7,18
11,1563860J,mu,6,3,3,5,17
11,1563518J,mu,5,3,2,5,15
11,13636472,6,mu,1,3,7,17
11,1664056J,6,mu,3,3,5,17
12,1461913J,mu,7,3,3,7,12
12,14631733,mu,9,3,3,10,14
12,15608697,5,5,3,3,0,11
12,15623688,mu,mu,3,1,0,2
12,15633675,4,mu,3,3,5,9
12,1563387J,mu,4,2,2,8,7
12,15634086,7,mu,3,NC,6,9
12,15637050,5,7,3,3,0,11
12,15637085,mu,7,2,3,5,11
12,16622782,mu,7,3,3,8,12
12,16641078,10,mu,3,3,10,15
