essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total,comments
1,17636760,MU,8,3,3,8,22,"Me gustó el ensayo, aportas muchas ideas personales, ocupas conceptos de las lecturas y desarrollas una tesis. Debes hacer el título más llamativo, cometes faltas de puntuación, léxico, ortografía, además de errores al citar en APA (hay algunas incompletas)."
1,17636892,MU,8.5,3,3,10,24.5,
1,17637252,7,MU,3,3,8.5,21.5,"Muy buen ensayo, bien usadas las ideas y la citas para apoyar los argumento, recordar darle más importancia a la conclusión para cerra bien todas las ideas."
1,17638690,7.5,MU,3,3,7,20.5,"Debes tener cuidado en el proceso de conexión entre ideas ya que hay algunos saltos un poco abruptos. Hay pequeños errores ortográficos fáciles de corregir. Falta mayor desarrollo y profundidad en los contenidos del curso que utilizas para respaldar tus ideas. El proceso de contextualización es un poco vago y los argumentos que usas tienden un poco a la ambigüedad, falta claridad y determinación en la forma en la cual los expones. Fuera de ello es un buen ensayo en su génesis y se valora que expongas tu experiencias personales."
1,1764061J,MU,MU,3,3,13,19,"En tu ensayo no cumples ni con el mínimo de palabras ni en el formato de citación bajo norma APA correctamente. Además debes tener cuidado en cosas detalles como si después de una pregunta iniciaras con mayúscula o minúscula, esto depende de si vas seguir tu idea con un punto seguido o no, pero no queda claro dentro del texto. Falta mayor profundidad en el desarrollo de tus argumentos, así como también mayor conexión con los contenidos del curso. Falta agregar valor significativo al texto a partir de tu experiencia personal. Lo bueno es que es un texto que pese a lo anterior, resulta dinámico de leer y posee una buena conclusión."
1,17640636,MU,8,2,2,8,20,"Realizas buenas reflexiones en base a tu experiencia y desarrollas varios argumentos de valor. Cometes muchos errores ortográficos, de redacción y puntuación, incluyendo en el título"
1,1764156J,MU,MU,3,3,17,23,"Hay pequeños errores ortográficos y de uso de conectores que generan un poco de ""ruido"" al leer tu ensayo (cuando expongas una duda usa ambos signos de interrogación, no solo al final). Es un buen ensayo, aunque falta fuerza al momento de presentar un contraargumento. Te recomiendo que no anuncies cada parte del texto (introducción, argumentos, conclusión) ni que marques en negrita cuando vas a proceder a dar tus ideas, ya que idealmente el texto debe plasmar estos momentos por si mismo. Fuera de estos detalles, ¡Buen trabajo!"
1,17642043,9.5,MU,2,3,9,23.5,"Buen ensayo, cuidado con las faltas ortográficas "
2,15633365,MU,9,3,2,7,21,"Hay que mejorar la conclusión e intentar poner alguna reflexión más personal. Tener en cuenta los formatos que se exigen para un ensayo, están bien usadas la citas, pero recordar de usar formato APA"
2,17625661,8.5,MU,3,2,-3.5,10,"El ensayo me pareció muy bueno, las ideas están muy bien vinculadas y la utilización de los textos fue muy útil para respaldar tus ideas. La redacción y ortografía me parecieron muy buenas, era fácil seguir la lectura. Los argumentos usados respaldan muy bien la conclusión expuesta. Bien realizadas las citas. No cumple con el mínimo de palabras, pero lo que se presenta está muy bien."
2,17639425,10,10,3,2,0,25,"Muy buen ensayo, está completo y bien argumentado. Ojo con con las citas en el texto. El (autor, año) debería ir despues de que cierras comillas."
2,17640644,7,8,3,3,0,21,"Buen ensayo, buena redacción y argumentación. Faltó incluir referencias de textos del programa y un contraargumento claro."
4,16204921,6,7,3,3,0,19,"Es un buen ensayo, se presentan ideas y argumentos claros, pero hay que tener ojo en la redacción para que se lea todo mas fácil. No se cumplen con aspectos mínimos de citas mínimas y los textos a utilizar, trata de leer el reglamento. Te recomiendo ponerle más énfasis a la conclusión para para darle un buen sierre a las ideas."
4,17638623,MU,8.5,2,3,5,18.5,"Tienes errores ortográficos, para que le pongas más ojo. No cumple con las 1000 palabras y te recomiendo ponerle más énfasis a la conclusión para para darle un buen sierre a las ideas. No cumples aspectos formales d ellos ensayos como las citas mínimas y los textos a utilizar, trata de leer el reglamento."
