essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total,comments
1,17209099,MU,MU,0,2,7,9,"No presenta título, ni introducción, ni tesis, ni conclusión. Hay demasiados errores ortográficos, la redacción es muy confusa, en gran parte porque tienes muchos errores ortográficos. No cumple con aspectos formales, como el mínimo de palabras o las referencias bibliográficas. En cuanto a fundamentación, la falta de cita hace complejo adivinar a cuál texto te refieres y hay argumentos que expones sin respaldarlos con fuentes bibliográfiacas. Presentas varios argumentos relacionándolos con tus experiencias personales y expones ideas que demuestran aprendizajes."
1,17624215,9.5,MU,3,2,9,23.5,"Gran análisis del éxito, redactaste varios argumentos de valor. Citas consistentes. Varias faltas de ortografía y redacción. Errores al citar (como fechas)"
1,17625939,8.5,9,2,3,0,22.5,"Muy buen ensayo, redacción clara, pero presentas errores ortográficos y de puntuación. Se nota que leíste tus lecturas y estas te hicieron refleccionar sobre muchos aspectos, por lo que el ensayo es bastante original. Podrías trabajar más con respecto a la conclusión, es algo ambigua."
1,17626846,MU,7,3,3,7,20,"Me gusta que uses tu experiencia en la universidad para transmitir varios argumentos de valor. Los argumentos son consistentes a lo largo del texto, pero no ocupaste citas, por lo que es incierto tu respaldo de información. Muy buena redacción. Cometes varios errores de ortografía. A lo largo del texto no eres explícito en cuánto a la tesis en la que basas tu ensayo, pusiste reflexión tras reflexión pero no en base a una tesis en específico, por lo que careces de puntaje relacionados a ella."
1,17627087,8,7,2,3,0,20,"Cuidado con la ortografía y la redacción, mezclas primera y tercera persona (te recomiendo escribir todo en primera persona). Recuerda citar y referenciar en normas APA. En relación al contenido de tu ensayo es original y atingente al contexto universitario."
1,17627885,6.5,6,3,3,0,18.5,"El tema que abordas en tu ensayo es muy original y a la vez muy interesante. Sin embargo, no hay una estuctura clara, está desordenada la forma en la que relatas las experiencias y hay muchas faltas ortográficas y de orden que podrías haber prevenido con una segunda lectura a tu ensayo."
1,17636655,MU,5.5,3,3,8.5,20,"Es muy valorable que hayas utilizado seis lecturas para elaborar tu ensayo y que te hayas dado el trabajo de analizar y entender cada una. No obstante, dar tu opinion de cada una de las lecturas no es la idea del ensayo porque falta agregar valor con ideas propias. Hay varias faltas de ortografía o palabras mal escrita, esto se hubiese evitado al dar una segunda leida a tu ensayo.  Recuerda las normas APA"
1,17637163,9.5,9,2,3,0,23.5,"Muy buen ensayo, estructura clara e ideas planteadas de forma ordenada y entendible. "
1,1763718J,8,9,3,2,0,22,"Tener en cuenta los formatos que se exigen para un ensayo, están bien usadas la citas, pero recordar de usar formato APA. Tener ojo con las reglas de los ensayos."
1,17637538,MU,MU,2,3,9,14,"Tu ensayo no cumple el mínimo de palabras. La estructura del ensayo no es ordenada, muchas faltas de ortografía y puntuación. Falta una conclusión y proyección"
1,1763766J,MU,8,3,3,7,21,"Es un buen ensayo y es muy agradable de leer tu experiencia, ojo con las citas, usa estas para reforzar argumentos e ideas, no solo para cumplir con lo exigido. Poner mas ojo en la redacción para que las ideas se entiendan mejor."
1,17637732,MU,8,1,3,7.5,19.5,"Tu ensayo es muy interesante, abordaste las lecturas desde un tema personal y eso le agrega mucho valor. A mejorar, recuerda la estructura de los ensayos e intenta que cada parte se puedan ver claramente. Por último, cuidado con los aspectos formales."
1,17637848,MU,MU,3,3,16,22,"Tu ensayo es muy interesante, abordaste las lecturas desde un tema muy original y eso le agrega valor. A mejorar, recuerda la estructura de los ensayos e intenta que cada parte se puedan ver claramente. Por último, cuidado con la ortografía, hay muchos errores."
1,17638216,10,MU,2,3,9,24,"Muy buen ensayo e interesante la forma en la que expresas tus ideas, hace que sea llamativo leerlo. Recuerda respetar los aspectos formales"
1,17639336,MU,8,3,3,8,22,"Recuerda justificar los párrafos y citar correctamente en APA (párrafo 6).  Hay errores de redacción, pero en general las ideas están bien planteadas."
1,17639654,8.5,MU,3,2,9,22.5,Tu ensayo es muy interesante y en general está bueno. Recuerda citar y hacer las referencias en normas APA. 
1,17639794,4.5,7.5,3,3,0,18,"Recuerda que cada párrafo debe tener una idea central respaldada con argumentos. La idea del párrafo 3 estaba buena, pero le faltó profundización. Faltó una tesis clara, por lo tanto la introducción y conclusión están incompletas."
1,17640741,10,NC,3,3,9,25,No usaste espaciado sencillo. Recuerda no escribir párrafos muy largos.
1,17640830,9.5,9,3,3,0,24.5,"Buen ensayo! No hay bibliografía en formato APA. Ojo con los párrafos muy pequeños (4 líneas o menos), pues la idea no se logra desarrollar completamente."
1,17641349,7,MU,3,3,8,21,Hay varios errores de puntuación y faltó un tesis más clara.
1,17641950,MU,9,1,1,7,18,"Buen título. Recuerda justificar los párrafos, citar correctamente en APA y escribir al menos 1000 palabras."
1,17641977,6.5,MU,3,3,7,19.5,Faltó una conclusión más sólida. Recuerda justificar los párrafos y citar correctamente en APA. Hay varios errores de ortografía y puntuación.
1,17642175,7.5,MU,3,3,8,21.5,"Buen ensayo, faltó plantear más claramente la tesis."
1,17642329,MU,7,2,2,7,18,"Buenas ideas y argumentos, pero te faltó plantear una tesis más clara para ordenar un poco más la lógica del ensayo. Ojo con los párrafos muy largos y te faltó citar la bibliografía en formato APA."
1,17642388,9.5,MU,3,3,10,25.5,Buen ensayo!
1,17642639,MU,9,1,1,9,20,Buena tesis y conclusión. La referencias de F.F no están en formato APA y algunas faltas de ortografía
1,17643155,MU,8,3,3,8,22,Hay varios errores de ortografía y redacción. Las citas no están en formato APA.
2,11623276,4.5,MU,3,3,5,15.5,"Se otorga puntaje por título, introducción, argumantación (parcial) y aspectos formales (parcial). Se entiende la noción de lo que quieres explicar, pero los argumentos no fueron tan explícitos como lo hubiesen sido en un ensayo redactado. "
2,15620360,8,8.5,3,2,0,21.5,"Muy buen ensayo, tener ojo en la redacción para que se entiendan mejor las ideas, tal vez separa más los párrafos. Hay que mejorar mas la conclusión para cerra bien las ideas."
2,16638875,MU,7.5,1,2,8,18.5,"Tus ideas están bien planteadas y respaldadas por las lecturas. Trata de profundizarlas aún más usando los contenidos del curso. Hay algunos errores de redacción y ortografía. Recuerda siempre justificar los párrafos (es más formal) y que no puedes partir un párrafo con ""Por otro lado""."
2,17623936,8,9.5,3,3,0,23.5,"Tener en cuenta los formatos que se exigen para un ensayo, están bien usadas la citas, pero recordar de usar formato APA. Tener ojo con las reglas de los ensayos.  .Ojo con las citas, usa estas para reforzar argumentos e ideas, no solo para cumplir con lo exigido"
2,17624460,7,6.5,1,2,0,16.5,"Falta explicitar la tesis, si bien es cierto esta puede llegar a inferirse, tiende  la ambigüedad. Falta mayor conexión entre los argumentos, hay saltos entre uno y otro que son abruptos y dificultan mantener el hilo conductor, y hay problemas al presentar lo que correspondería al contraargumento. Falto desarrollar en mayor profundidad algunos de los contenidos del curso y utilizarlos como herramienta para respaldar las ideas que planteas. Hay pequeños errores ortográficos y de puntuación, y falto una conclusión con mayor fuerza, que rescatara claramente las ideas centrales y que estuviese en línea con la tesis."
2,17639484,6,7,3,3,0,19,"Falta respaldar tus argumentos con referencias bibliográficas citadas en el texto mismo. No se presenta mayor desarrollo de los contenidos vistos en el curso como un aporte al desarrollo de tu ensayo. Hay un par de errores ortográficos y léxicos fáciles de corregir para las próximas entregas. Hay saltos un poco abruptos que impiden un lectura más fluida y las ideas que planteas son poco desarrolladas . Debes citar en formato APA en el interiordel texto y al final (hay documentos y páginas que ayudan con eso).Fuera de todo lo anterior, se valora que compartieras experiencias personales."
2,17640075,9,8.5,3,2,0,22.5,"Muy buen ensayo: tesis original, muy buen desarrollo de argumentos y muchos aprendizajes expuestos. Conclusión muy interesante, pero recuerda que estás concluyendo y ya debiste haber expuesto todos tus argumentos, por lo que no debería ser tan larga. A pesar de lo anterior está muy buena y te basas en todos los argumentos desarrollados. Los aspectos formales están bien, cometes varias faltas de puntuación a lo largo del texto, que dificultan su comprensión y cometes algunas faltas de ortografía."
2,17640954,8.5,6,3,3,0,20.5,"Buen ensayo: - El título tiene que ser llamativo para el lector. - Varias faltas de puntuación y algunas de ortografía. - Argumentos claros y respaldados en las lecturas realizadas, se nota que aprendiste de los textos que citaste. - Debes mejorar mucho la redacción, en especial en la conclusión: más que un párrafo redactado me pareció un listado de ideas puntuales separadas por un punto y no me quedó claro si aceptas o rechazas la hipótesis que planteaste."
2,17641055,9,10,2,3,0,24,Buen ensayo. Me habría gustado una introducción más completa y te faltó incluir una conclusión para poder cerrar correctamente tus ideas. Hay algunos errores de redacción y te faltó justificar algunos párrafos.
2,17642175,8,7,2,3,0,20,"Debes explicitar más tu tesis en la introducción. Tienes buenas ideas, bien respaldadas por las lecturas, pero recuerda que debes usar los contenidos del curso para profundizarlas aún más. Recuerda que una buena conclusión es importante para cerrar bien tus ideas."
2,17642434,9.5,10,3,3,0,25.5,"Muy buen ensayo! Ojo con la bilbiografía APA, que en cada referencia, todas las líneas van con sangría salvo la primera"
2,18201326,7,6.5,0,0,0,13.5,"Buen ensayo, pero no respetaste el tipo de letra pedido, las citas no fueron en formato APA y los argumentos (y el contrargumento) no fueron claros. Tu redacción es buena y lo mantuviste interesante."
3,16636902,MU,5,3,3,5,16,"Creo que hay que revisar muchos aspectos de redacción, trata de leer una vez completa tu ensayo cunado lo termines. No cumple con las 1000 palabras y de frentón no tiene conclusión. "
3,17627907,MU,MU,2,2,15,19,"No citaste en APA, no cumples el mínimo de plabras, no sigues reglas de formato. Hay problemas de redacción y ortografía. No hay una tesis clara. La conclusión no aporta a un cierre de tu escrito así como tampoco se relaciona con la tesis. Hay argumentos que son bastante superficiales, la propuesta e un contraargumento es vaga. No hay dominio activo de los contenidos del curso. Se agradece que conectes con tu experiencia personal en el texto, pero es un ensayo bastante deficiente y espero mejores para las próximas entregas."
3,17638305,7,MU,3,1,8,19,"Buen ensayo. La tesis está bien, pero podría estar mejor redactada. Faltó poner un contraargumento y su respectiva refutación. Cuando citas a Chugh & Bazerman en el párrafo 2 y a Flores en el párrafo 5 debes poner el año en paréntesis."
4,14635186,8,7.5,3,3,0,21.5,"A rasgos generales es un buen ensayo. Te recomiendo que justifiques el texto, no es exigido en la pauta pero es una buena práctica al momento de escribir. Hay párrafos demasiado extensos que provocan que en ocasiones los argumentos que planteas sean difíciles de seguir, hay más de una idea principal y existen saltos un poco abruptos dentro del párrafo mismo. Se valora el aporte de tu experiencia personal al desarrollo del ensayo. Hay un par de errores ortográficos y de uso de conectores que debes considerar para las próximas entregas. El punto más débil due la conclusión, ya que cumple con dar respuesta a la tesis (muy bien planteada y contextualizada, ¡te felicito por eso!) pero no aporta mayor valor al cierre de las ideas que fuiste planteando en tu escrito ni tampoco invita a una reflexión más profunda."
4,15638480,8.5,9.5,3,2,0,23,"Muy bueno tu ensayo, recuerda que respetar las normas APA, faltas varios detalles en eso"
4,1663571J,8,8,2,3,0,21,"Es un muy buen ensayo, te felicito, se presentan ideas y argumentos claros. Ojo con la redacción, trata tal vez de separar un poco los párrafos para dará entender mejor las ideas. No estas cumpliendo con el formato APA para citar las fuentes que utilizaste, trata de leer el reglamento de los ensayos. "
4,16639154,8,7.5,2,2,0,19.5,"El tema de tu ensayo es interesante, refleja esto en tu título. Faltó concluir en torno a la pregunta inicial que hiciste.  En general tu ensayo es bueno, ojo con la ortografía y las normas apa"
4,17641055,7.5,7,3,3,0,20.5,"Buen ensayo. Lamentablemente hay muchas palabras que deberían tener tilde (práctica, cómo (en contexto de pregunta), entre otras) y redacción confusa. Referencias mal, dado que en APA se deben listar en orden alfabético las referencias. Contextualizas bien la idea a desarrollar en el ensayo, pero no te apoyas en una tesis (postura) clara. Los argumentos están bien trabajados y te apollas bien el el texto de Gavetti. El contrargumento no es claro. "
4,17643155,9,8.5,3,3,0,23.5,"Muy buen ensayo, la línea de argumentación es clara y tu redacción es buena, tiene 2 faltas ortográficas por falta de tilde. Abordaste muy bien la necesidad de cambiar el modo de operar de las empresas, pero faltó un contrargumento y su respectiva refutación, fuera de eso, muy bien todo lo demás. Las referencias APA deben ir en orden alfabético. Faltó también repasar argumentos en la conclusión."
