essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total,comments
2,16210336,MU,MU,0,0,0,0,Continúa con -1 porque tiene 279 palabras.
2,16623800,8,7,3,1,0,19,"Contextualizas bien sobre los temas que vas a hablar, sin embargo, tu tesis no la presentas de manera explícita, podrías haberla dejado más clara, como una afirmación. Tienes hartos errores de redacción y de ortografía (falta de tildes), lo que dificulta un poco la lectura. Tus ideas son buenas y las fundamentas bien. Buen cierre de ideas. Recuerda que para referenciar correctamente en el formato APA, no debes enumerar las referencias. También debes ponerlas en orden alfabético desde el apellido del primer autor, y debes usar la sangría francesa"
2,16624734,10,8,3,3,0,24,"Buen ensayo! Logras contextualizar bien el tema y planteas una tesis clara. Me gustó que hayas encontrado experiencias personales para aclarar tus argumentos. Encontré unas pocas faltas de ortografía (errores de tipeo y falta de tildes), para que lo revises en tu próximo ensayo. También, para las referencias bibliográficas, debes usar la sangría francesa (el indentado es a partir de la segunda línea). El resto me gustó mucho, logras cerrar bien las ideas y reafirmas tu tesis."
2,16635167,10,9,3,3,0,25,"Muy buen ensayo! Te felicito por el buen hilo conductor y uso de evidencia como respaldo de las ideas expuestas. No obstante, hay un error que consiste en el uso excesivo de comas. En ciertos momentos forzaba algunas pausas innecesarias y en otros era mejor usar punto seguido que comas. Te invito a mejorar en ese aspecto."
2,16637755,5,MU,3,2,6,16,"En primer lugar, no cumples con el mínimo de 1000 palabras. En relación al contenido tu ensayo, falta dejar la tesis de forma explicita  porque no queda correctamente claro con los argumentos que utilizas. Tienes muchas faltas de ortografía o tipeo, además de que las referencias en APA no están correctas. "
2,1664042J,6,MU,3,3,0,12,"Tiene menos de 800 palabras, por lo que el puntaje no cambia"
2,16641620,"7,5",7,3,3,0,"20,5","Me gustó tu ensayo! Encontré entretenida tu forma de plantearlo, poniéndote en el lugar de del CEO de blockbuster. Planteas una tesis clara y la defiendes bien con tus ideas. Podrías haber profundizado un poco más tu párrafo con el contraargumento, y dejarlo más claro. Podrías decir “como contraargumento, ustedes podrían plantear que estamos pasando por un buen periodo, por lo que no vale la pena cambiar. Sin embargo, esto no es del todo cierto, ya que…”, de esta manera se entiende más el contraargumento. Ten ojo con las faltas ortográficas, encontré varias para que lo tengas en cuenta para los siguientes ensayos (más que nada falta de tildes en algunas palabras).  Recuerda que la forma correcta de nombrar las referencias bibliográficas, es ponerlas en orden alfabético desde el apellido del primer autor. También debes usar la sangría francesa."
2,17207037,"9,5","8,5",3,3,0,24,"Muy buen ensayo. Eso sí, te recomiendo que dejes más clara tu tesis, ya que dentro de la introducción expones varias ideas y se pierde. Podrías empezarla con un ""Mi postura/opinión/teoría/creencia es..."" o algo así. "
2,17625297,"9,5","7,5",3,3,0,23,"Muy buen ensayo, con muy buenos argumentos y una tesis muy clara. Sin embargo, te faltó usar el video de Chugh en tu ensayo. Además, las referencias no están hechas de forma correcta en APA, por ejemplo, faltó usar sangría francesa, los títulos no van con comillas y la cita textual no se ponen en cursiva."
2,17625319,7,7,3,3,0,20,"Buen ensayo en líneas generales. Muy buen título que va de la mano con el contenido. Asímismo la introducción es buena e interesante la analogía con la materia prima. Hay varios errores de redacción principalmente, pero también de ortografía. El desarrollo de la línea argumentativa es un poco débil, ya que las citas no se usan mucho para analizar, sino que se perciben en algunos momentos como cumplir con la obligación de que estén. La conclusión también es débil, no logra confirmar la tésis y la cita es un poco innecesaria en ese lugar."
2,17625513,9,9,2,3,0,23,"Tu ensayo en general es bueno, extrapolas la situación de netflix y blockbuster la vida real. El unido detalle es el orden de tus párrafos, espacios innecesarios y no justificado, las citas en APA tampoco son correctas."
2,17636736,"8,5",8,2,1,0,"19,5","En general cumples con la estructura solicitada, no obstante, tu ensayo está desordenado (párrafos de 3 lineas e ideas muy cortas que no se comprenden completamente) "
2,17636825,9,MU,3,3,8,23,"Buen ensayo! El feedback te lo entregó la persona que auditó el ensayo, pero si tengo dos comentarios. El primero es que debes utilizar el enunciado para construir tu tesis y no nombrar alfinal el caso de estudio. El segundo es que necesitas mejorar en tu redacción. Te recomiendo leer tu ensayo un par de veces después de haberlo terminado, ya que hay ciertas oraciones que no están bien construidas y confunden un poco."
2,17637325,"5,5",5,3,3,0,"16,5","El ensayo no tiene una tesis. Si bien presentas una pregunta que puede ser válida para ser respondida como tesis en la conclusión, esta no se responde sino que se deja abierta en ese espacio también. No hay contraargumento y creo que en líneas generales te preocupaste más de incluir los textos que de desarrollar una línea argumentativa. Lamentablemente tuve que descontarte también por la forma de citar en APA, ya que la bibliografía está en inglés. La introducción es buena y la conclusión, a pesar de no responder la pregunta, es buena y logra cerrar lo que expusiste."
2,17637333,8,8,3,3,0,22,"Muy buen ensayo, me gustó mucho las ideas que planteas, además de que están bien argumentas y apoyadas de buena forma con los textos. Sin embargo, te faltó poner un contrargumento. También tienes unos pequeños errores de formato APA, por ejemplo, no usas sangría francesa, las referencias no están en orden alfabético y no tienes que enumerar las referencias."
2,17637600,9,9,3,3,0,24,"Muy buen ensayo, bien estructurado y se notan claramente tus argumentos y contraargumento. Sin embargo, tienes varios errores de puntación y ortografía, por ejemplo, cuando dices ""cada día nos vemos enfrentados a decidir que hacer, a donde ir, que comer, etc."", los qué y el dónde, deberían llevar tilde. Como comentario aparte, cuando quieres poner un punto o una coma luego de una cita o parafraseo tiene que ir después de los datos del autor y el año. "
2,17637767,MU,6,0,0,-6,0,
2,17638097,10,10,3,2,0,25,"Excelente ensayo. Solo hay un error ortográfico en que pusiste ""si""(el de afirmación es con tilde)."
2,17639530,9,MU,1,3,9,22,"Se revisa porque tiene 981 palabras. Solo bajé 1 punto por no cumplir con el mínimo, el resto muy bien!"
2,17639603,MU,7,3,3,5,18,"Tienes una tesis muy clara y buenos argumentos. Sin embargo, a tu ensayo le falta relacionarse más con lo que decía el enunciado. Además de esto, no utilizas todos los textos mínimos a lo largo del ensayo y tampoco apoyas tus argumentos con éstos, solo lo haces en dos casos. También, tienes varios errores de puntación y de formato de citación APA, ya que no hace las referencias de la forma correcta en ningún caso. Te recomiendo revisar la guía APA que está disponible en la página de la biblioteca. Falta contraargumento"
2,17639840,10,10,3,3,0,26,"Excelente ensayo, fue un agrado leerlo. Tu redacción es muy buena, estructura correcta y las ideas que planteaste son propias, bien desarrolladas y fundamentadas."
2,17640717,8,8,0,0,0,16,"No queda clara la tesis, por lo mismo no se entiende a que responden tus argumentos, tu título es prometedor sin embargo faltó conexión con texto mismo."
2,17641063,"6,5",MU,0,0,"-6,5",0,
2,17642191,"9,5",MU,3,3,"8,5",24,"Introduces bien el tema, y queda clara la tesis que vas a argumentar. Propones buenos argumentos, los cuales fundamentas bien. Podrías haberle dado más énfasis a la conclusión, resaltar las ideas principales de tu ensayo. Tus referencias no están en formato APA. Debes ponerlas en orden alfabético desde el apellido del autor, y no se enumeran. A pesar de que tu ensayo está bueno, no haces mucha relación con el enunciado. Luego de todos tus argumentos, podrías responder qué es lo que harías estando en la situación, si fue buena o mala decisión, para vincular tus argumentos a la situación planteada. De todas maneras, respondes de manera general algunas de las preguntas y hablas sobre la toma de decisiones, por lo que no se descuenta puntaje, pero para que lo tengas en cuenta en los próximos ensayos."
2,17642604,8,7,3,3,0,21,"Los argumentos están bien desarrollados y existe una buena utilización de los textos. Sin embargo, no tienes una tesis clara, cuesta mucho saber qué es lo que finalmente quieres lograr, ya que siento que intentas plantear dos ideas diferentes. Además de esto, tienes errores en el formato APA, cuando haces citas textuales tienes que indicar la página de donde está la cita y no debes poner la cita en un párrafo aparte a menos que tenga más de 40 palabras. Tampoco tienes que enumerar las referencias y estas tienen que ir en orden alfabético y con sangría francesa. Te recomiendo revisar la guía de normas APA disponible en la biblioteca. Falta un contraargumento y sangría al inicio de los párrafos."
2,17642981,8,8,3,3,0,22,"Buen ensayo en general. La forma de presentar la línea argumentativa no es la ideal en cuanto a lo que se espera de un ensayo. Fue más bien un enumeración de ideas, con la intromisión de un penúltimo párrafo que confunde e intenta ser un contrargumento, pero es más bien la respuesta a la pregunta del enunciado. Tanto la introducción como la conclusión son buenas!"
2,17643317,"8,5",8,3,3,0,"22,5","Cumples con la estructura solicitada, a pesar de ello, hay ideas que no quedan claras (debido a informalidad como que estuvieras hablando) ej. ""aca me gustaría hacer un paréntesis"" . Parte de tu ensayo no está justificado y hay errores en las citas del cuerpo."
2,17653215,MU,MU,3,2,0,5,"Tiene menos de 900 palabras, por lo que el puntaje se mantiene"
2,18211089,5,MU,2,3,0,10,"No se corrige, ya que tiene 714 palabras"
2,18636837,9,10,3,3,0,25,"Tu ensayo está muy completo, cumples con la estructura y todos los aspectos están claros."
2,18636896,9,"8,5",3,3,0,"23,5","Muy buen ensayo. Logras introducir de forma precisa, argumentar corto pero a la vez conciso y cerrar bien. Hay ciertos errores de redacción y creo que no hiciste referencia al vídeo que era parte de la bibliografía mínima. Ojo eso si, que tu tesis busca convencer que era más beneficioso comprar Netflix, pero la mayoría de su contenido habla de un potencial error de no haberlo comprado, lo cual es distinto."
2,18637795,8,8,3,3,0,22,"Muy buen ensayo en líneas generales! Debes mejorar eso sí tu ortografía y redacción. Hay varios errores evidentes de ortografía y mucha repetición léxica. Tampoco utilizaste la bibliografía mínima, ya que no hiciste referencia al video. Muy bien en cuanto a los argumentos y la claridad de cada uno de ellos, sigue así!"
2,18637876,"9,5",9,3,1,0,"22,5",Excelente ensayo. Te recuerdo que debes usar el template subido a canvas sin hacerle cambios al formato (tiene sangrías en cada párrafo). También te aconsejo que la tesis la plantees más como una postura propia que como un objetivo. El resto muy bien!
2,18638457,10,MU,2,3,"7,5","22,5","Muy buen ensayo, tiene una buena redacción y estructura. Sin embargo, te faltó ultilizar el video en el ensayo, era mínimo. Además, tienes unos errores de formato APA, ya que falta el número de página en la cita textual, las referencias tienen que estar en orden alfabetico y no utilizas sangría francesa."
2,18640885,9,"8,5",3,3,0,"23,5","Muy buen ensayo. Ortografía excelente. Te recomiendo que expongas tu tesis en la introducción de forma más clara, recuerda que es la postura que vas a defender durante todo el ensayo. Otro consejo es que cuides que tus párrafos no sean tan extensos. Entre 7 y 14 líneas es una buena extensión para no dificultar la lectura."
2,18642691,10,MU,3,3,8,24,"Buen ensayo! No obstante necesitas mejorar la ortografía; encontré muchos errores. También te faltaron tres palabras para cumplir el mínimo, para que tengas ojo! Se pierden puntos valiosos y son solo tres palabras que te faltaron. Por último, me parece que no nombraste el video que es parte de la bibliografía mínima."
2,18642896,4,"5,5",3,1,0,"13,5","Buenas ideas acerca del tema, hablas sobre lo pedido por enunciado y haces buen uso de las lecturas. Tienes algunos errores ortográficos: actuaran, cambiaran, buscaran, asi. Errores de puntuación (sobre todo faltas de comas y puntos seguidos que separen ideas). En introducción no queda clara cuál será la tesis. Te recomiendo partir con “Mi postura es…”. Falta contraargumento. Falta proyección en la conclusión. Recuerda usar el template del ensayo que está en canvas y respaldar todas tus ideas con la bibliografía."
