essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total,comments
1,1721064J,8,"8,5",3,3,0,"22,5","Muy buen ensayo, planteas ideas muy claras, bien argumentas y se nota un entendimiento claro de lo que quiere lograr el curso. Tiene una muy buena redacción, pero tus referencias no están en formato APA, por ejemplo, no se encuentran en orden alfabético ni poseen cursiva, te recomiendo usar la guía temática que se encuentra disponible en la página de la biblioteca. Si bien intentas exponer un contraargumento, este no logra el objetivo, ya que simplemente reconoces que existen posturas contrarias a la tuya, pero no argumentas sus razones. Faltan las sangrías al comienzo de los párrafos."
1,17625084,"6,5",MU,2,3,6,"17,5","Muy buen ensayo en el contenido, pero muy deficiente en aspectos formales. No  citas en formato APA niguna referencia. También hay múltiples errores de ortografía, puntuación y redacción. Te recomiendo utilizar el revisor de ortografía de word para poder mejorar en eso! Ojo también que no ocupaste todas las referencias mínimas ni repaldaste cada argumento con referencias.                          ////   NC (corrección): Mucha falta de ortografía, redacción y puntuación. Te recomiendo no ocupes oraciones de más de tres línea, para una redacción más concisa. Citaste en APA de forma incorrecta, ya que la página no debe ir en los paréntesis del texto. Además, las referencias no van enumeradas y se ocupa la sangría francesa en esa sección. Finalmente, en contenido estuvo muy bien pero debes justificar todos los argumentos, incluso el contraargumento."
1,17625211,9,MU,1,3,"7,5","20,5","Bien en el contenido, aunque faltó proyectar un poco más la conclusión. Quizás se pudo haber inclinado más hacia el tema del enunciado. Además, faltó un contraargumento. Y por último, hay referencias donde no cita con el paréntesis en el texto."
1,17625912,"9,5",MU,3,3,"7,5",23,"Muy buen ensayo y bien citado. Todo está muy bien argumentado y estructurado. Sin embargo, no pude identificar un contraargumento. Tiene muchas faltas de ortografía por lo que te recomiendo usar el corrector de word. Y por último, la conclusión proyecta de una forma un poco vaga por lo que recomendaría explayarse más en ese sentido. Fuera de esto está todo ok."
1,17626951,"7,5",5,1,3,0,"16,5","Ensayo muy desordenado. No está bien separado cada párrafo, usar sangría y más espacio te puede ayudar. Hay múltiples errores de ortografía y puntuación. En ese sentido una herramienta que te puede servir harto es el revisor de ortografía de word. También creo que necesitas familiarizarte más con el formato de ensayo. Escribir este viendo la pauta quizás te pueda ayudar, ya que en tu caso hay una introducción y conclusión muy breves que no logran de muy buena manera el objetivo. Con respecto al cuerpo del desarrollo es bueno y a la vez interesante lo que escribes. Te invito a persevar en los aspectos que te nombre, éxito en el resto del semestre!"
1,17637287,"8,5",9,3,2,0,"22,5","Muy buen ensayo! Ojo eso si con errores de redacción y  evita oraciones muy largas, ya que no permiten buena comprensión (hay una oración de 9 líneas). También te faltó citar el video que está en las referencias mínimas y usar una referencia en tu contraargumento."
1,17638674,"6,5",8,3,3,0,"20,5","En lineas generales buen ensayo, pero muchos errores de puntuación,ortografía y falta de consistencia en el uso de pronombres. Con respecto a eso te recomiendo utilizar el revisor automático de word. La tesis no se identifica  con facilidad hasta que se nombra en un argumento. Hay un argumento que no se fundamenta en alguna referencia, entre otras cosas. Te recomiendo intentar verificar tu ensayo con la pauta para cumplir con ciertos mínimos que te entregan una base de cierto puntaje!"
1,17640458,"9,5",9,3,3,0,"24,5","Muy buen ensayo, solo un par de errores de formato y ortografía."
1,17642094,"8,5",9,1,3,0,"21,5",deficiente conclusión y un poco de mal formato en las referencias.
1,17643082,MU,"6,5",3,3,5,"17,5","Faltó un contraargumento, faltó justificar un argumento. Faltas de ortografía recurrente. Le faltaron 100 palabras. Y por último, creo que podría haber proyectado aún más la conclusión."
1,17643163,8,"7,5",3,2,0,"20,5","Formato de párrafos deficiente. Introducción y conclusión ineficientes, falta contra argumento."
1,18637191,9,MU,3,0,"7,5","19,5","El ensayo estaba muy bien en cuanto a los contenidos expuestos, pero presenta múltiples errores de ortografía y puntación. Además, no posee un titulo que sea llamativo. Presenta inconsistencias en el formato de la bibliografía. No se recomiendo poner explícitamente introducción, desarrollo y conclusión ni marcar la tesis, deberían entenderse por sí solas."
1,18639372,"6,5","6,5",3,3,0,19,"Buen ensayo, pero en la introducción no hay una tesis clara. Hay errores ortográficos como: desmotivo, aun, concorde, cuestione, enseñaran, que. El formato APA no está bien utilizado dentro del texto. Faltó contraargumento. También ten cuidado en usar el mismo template subido, ya que tu ensayo está sin sangrías."
1,18642845,8,7,3,2,0,20,"Buen ensayo, pero hay algunas mejoras ortográficos a considerar: cómo (“como nos conectamos…”), qué (“que tan feliz…”), indicarán. Te recomiendo no dejar párrafos tan extensos. El texto no está justificado. El template no es el mismo o borraste la parte de comentarios para el corrector. La bibliografía no está en formato APA. Si bien La introducción no tiene una tesis clara que luego se relacione con los argumentos. Faltó confirmar/rechazar una tesis en la conclusión."
1,19201478,MU,7,2,3,-11,0,
