essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total
4,16635043,8,8,3,3,0,22,,
4,16635612,7,8,3,3,,21,,
4,16636252,10,7,3,3,0,23,,
4,16636295,6,MU,3,3,-11,1,,
4,16637941,MU,9,0,0,7,16,,
4,16637984,8,6,3,0,0,17,,
4,16637992,8,8,3,3,0,22,,
4,16639901,10,MU,3,3,7,23,,
4,1664137J,10,10,NC,3,0,23,,
5,15206734,7,7,3,3,0,20,"El ensayo está bien escrito y plantea uno puntos importantes. Sin embargo, no responde muy bien a las preguntas den Enunciado, y la sensación que se enfoca más en la era de la información que estamos viviendo, que en el caso y tema planteado. A.V.:1; F:3; A.F.:3",
5,15633314,8,10,3,3,0,24,,
5,16204948,7,8,3,3,0,21,Lo positivo: me gustó la forma de escribir y el sentido de cómo uniste las lecturas con un hilo redactor. El que se en inglés también le da otro toque más atractivo a la lectura. Lo que me gustaría que mejorara: que incluyas ideas propias a lo que se expresa (y no solo basarse en las lecturas). Cuidado con los párrafos demasiado extensos; y las referencias deben ir con capítulos y/o páginas para poder verificar.,
5,16625935,MU,MU,3,NC,-1,2,Entrega archivo vacío. Caso va a Leo y profes,
5,16635043,10,9,3,3,0,25,"Ojo con los párrafos demasiado extenso y que redundan en una misma idea (o donde dices muchos temas a la vez). En general buen ensayo, buenas ideas y buen desarrollo. ¡Felicitaciones!",
5,16637941,MU,7,0,0,-6,1,,
5,1664137J,10,8,3,3,0,24,,
6,16624688,7,7,2,3,0,19,"Cumples con gran parte de los criterios de la pauta de evaluación. E n tu ensayo se ve un hilo conductor, sin embargo, en mi opinión faltan argumentos que agreguen valor a las ideas que propones. Creo que el análisis es un poco básico. ",
6,16636228,9,MU,3,3,8,23,"Buen ensayo, desarrolla bien las ideas y responde de manera adecuada a las preguntas. Sin embargo, hay hartas citas textuales las cuáles podría haberse desarrollado mejor la idea profundizando o parafraseando. Hay varios errores ortográficos que se pueden evitar revisando rápidamente el ensayo antes de entregar. AV:3 ; F:3 ; AF:2",
6,16640012,8,MU,3,3,6,20,"buen ensayo, se penalizó por no cumplir el mínimo de palabras. Además, se consideran puntos débiles en la argumentación.  ",
6,16640950,9,10,3,3,0,25,"Cuidado con la repetición de palabras. Si bien tienes una correcta redacción, hace mucho ruido el que uses las mismas palabras repetidamente, te recomiendo que utilices indicativos como ""este"", ""estos"", etc. además de sinónimos. Bien usado el ejemplo de la innovación y el emprendimiento.",
7,﻿13638386,10,10,3,3,0,26,"Muy bien planteados los conceptos de autoridad vs liderazgo. Muy bien escrito también, las ideas ideas estaban bien formuladas y se podía seguir fácilmente la idea.",
7,15607011,MU,6,3,3,6,18,"No cumple con el mínimo de palabras. Explica y analiza bastante bien los conceptos de poder y autoridad. Se nota que envió un ensayo inconcluso, por lo que sugiero tener más cuidado para próxima y enviar el ensayo completo.",
7,16207033,8,7,3,3,0,21,"Buen ensayo, aunque me habría gustado una mayor reflexión sobre la autoridad vs el liderazgo en la conclusión. Ojo con la redacción, hay algunas oraciones muy largas. Aconsejo mayor uso de conectores y puntos seguidos.",
7,16624319,7,9,2,3,0,21,"Tu ensayo tiene muchas faltas de ortografía. Si bien incluyes todas las lecturas, creo que falta desarrollar mejor las ideas que pones en tu ensayo. ",
7,16637356,9,9,3,3,0,24,,
7,16637941,MU,6,2,1,5,6,,
7,16638794,8,9,2,2,0,21,,
7,16639685,5,MU,3,NC,5,13,,
7,16640012,9,9,3,3,0,24,,
8,15634698,4,5,2,2,0,8,,
8,1620560J,MU,8,3,2,5,12,,
8,16207203,MU,MU,2,3,-5,3,Tiene solo 249 palabras, no sube su puntaje,
8,16639669,MU,5,1,1,4,0,,
8,16640012,10,9,3,3,0,15,
8,16640632,4,6,3,3,0,10,
8,17623960,8,8,2,3,0,13,
8,17638798,MU,8,3,3,8,0,
